id,screen_name,state,create_at,Codes,Majority Vote,Confidence Score,Comments
3,DanLanzetta,New York,2/4/2020, Nonrelevant, Nonrelevant,1,
4,PariKasotia,District of Columbia,2/29/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
5,MahaYoga_108,California,3/1/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
6,fabiendt,New York,3/2/2020, Who is at risk? , Who is at risk? ,1,
7,BIGGeorgeAZ,Arizona,3/2/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
8,mthegoddess_,Texas,3/3/2020, COVID severity , COVID severity ,1,
9,doHAMMpe,South Carolina,3/4/2020, COVID severity , COVID severity ,1,
10,suedanim,North Carolina,3/4/2020, COVID severity , COVID severity ,1,
11,johnwalterseip,Michigan,3/7/2020, Mask effectiveness , Mask effectiveness ,1,
12,LisaM_Pearson,California,3/9/2020, Nonrelevant, Nonrelevant,1,
13,rebellegrrl,Alabama,3/10/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
14,guerinemily,California,3/14/2020, Nonrelevant, Nonrelevant,1,
15,erikdhansen,Massachusetts,3/19/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
16,justmarvelousme,California,3/21/2020," Political legitimizing of risk 
 Who is at risk? 
 Mask effectiveness "," Political legitimizing of risk 
 Who is at risk? 
 Mask effectiveness ",1,
17,Verointerpreter,North Carolina,3/22/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
18,AshleySumrallMD,North Carolina,3/25/2020,"Mask guidelines and policies 
 COVID severity 
 Who is at risk? ","Mask guidelines and policies 
 COVID severity 
 Who is at risk? ",1,
19,realGMGmedia,Michigan,3/27/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
20,CBoomerVazquez,Florida,3/28/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
21,gubatron,Colorado,3/29/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
22,JoJobeth328,Virginia,3/29/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,
23,CBoomerVazquez,Florida,3/30/2020, Who is at risk? , Who is at risk? ,1,
24,adownie,Illinois,3/31/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
25,TFrankHardin,Georgia,3/31/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
26,bunnie1129,Pennsylvania,4/1/2020, Mask effectiveness , Mask effectiveness ,1,
52,jayherrod18,California,5/1/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
27,realMikeLindell,Minnesota,4/1/2020, COVID severity , COVID severity ,1,
28,kylehorton1977,South Carolina,4/1/2020, Who is at risk? , Who is at risk? ,1,
29,ProSeWeStand,California,4/2/2020, COVID severity , COVID severity ,1,
30,DrShonye,Texas,4/2/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
31,Mrs____Who,Connecticut,4/3/2020, Who is at risk? , Who is at risk? ,1,
32,TonyForMissouri,Missouri,4/3/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
33,cjsurber,Idaho,4/4/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
34,Purplepass61,Arkansas,4/6/2020," Political legitimizing of risk 
 Mask effectiveness "," Political legitimizing of risk 
 Mask effectiveness ",1,
35,kendalldeboer,New York,4/7/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
36,_danielsaan_,California,4/7/2020, Who is at risk? , Who is at risk? ,1,
37,jeremy_daly,Massachusetts,4/8/2020, COVID severity , COVID severity ,1,
38,werbette,Pennsylvania,4/8/2020, Who is at risk? , Who is at risk? ,1,
39,oscarwriter1959,New York,4/9/2020, Mask effectiveness , Mask effectiveness ,1,
40,CarpenterElease,Florida,4/10/2020, Mask behavior of others , Mask behavior of others ,1,
41,NurseMeeks,Pennsylvania,4/11/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
42,rdolden,Oklahoma,4/11/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
43,plittletvguy,Rhode Island,4/15/2020, Nonrelevant, Nonrelevant,1,
44,allisonwhite24,Michigan,4/17/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
45,hamburgseven,New York,4/18/2020, Mask behavior of others , Mask behavior of others ,1,
46,MicheleKnoll44,Pennsylvania,4/19/2020, Who is at risk? , Who is at risk? ,1,
47,Eramos503,New York,4/21/2020, Nonrelevant, Nonrelevant,1,
48,wtmckenzie,Kentucky,4/28/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Who is at risk? ","Mask guidelines and policies 
 Political legitimizing of risk 
 Who is at risk? ",1,
49,Shackelford1055,Pennsylvania,5/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
50,Green_Gecko11,Georgia,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
51,allysonworsham,Mississippi,5/1/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
53,meagansullivan_,Illinois,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
54,cuddlyscotty,California,5/1/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
55,GScottLaughlin,Texas,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
56,satin_ams,Texas,5/2/2020, Who is at risk? , Who is at risk? ,1,
57,AlizaRSilverman,New York,5/2/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
58,drdrbrockman,Texas,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
59,nycbookwriter,New York,5/2/2020, Who is at risk? , Who is at risk? ,1,
60,alexisbboffa,Florida,5/2/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
61,ClaireBrehmer,Iowa,5/2/2020, Who is at risk? , Who is at risk? ,1,
62,Anthony_Rey__,California,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
63,Subtronics,Pennsylvania,5/2/2020, Mask behavior of others , Mask behavior of others ,1,
64,Heba_1123,Texas,5/3/2020, Who is at risk? , Who is at risk? ,1,
65,ShadenaLutin,California,5/3/2020, Who is at risk? , Who is at risk? ,1,
66,squiggg,Pennsylvania,5/3/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
67,DanaKlevy4,South Carolina,5/3/2020, Who is at risk? , Who is at risk? ,1,
68,Begreatskiee,Maryland,5/3/2020, Who is at risk? , Who is at risk? ,1,
69,Tondo41,Illinois,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
70,mattdhensley,California,5/3/2020, Who is at risk? , Who is at risk? ,1,
71,linda4lsu,Colorado,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
72,insomniacgodz,Florida,5/4/2020, Who is at risk? , Who is at risk? ,1,
73,TomTerrific_66,New Jersey,5/4/2020, Nonrelevant, Nonrelevant,1,
74,fpereyra,Texas,5/4/2020, Who is at risk? , Who is at risk? ,1,
75,Sanjosemailman,California,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
76,ronnietaylor474,Maryland,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
77,KariGW,Oregon,5/5/2020, Who is at risk? , Who is at risk? ,1,
78,dannynava321,Oregon,5/5/2020, Who is at risk? , Who is at risk? ,1,
79,raygentrythe4th,Nebraska,5/5/2020, Nonrelevant, Nonrelevant,1,
80,StephenODyer,Ohio,5/5/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
81,Benglesmith,California,5/5/2020, Mask behavior of others , Mask behavior of others ,1,
82,radiophotog,North Carolina,5/5/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
83,tvtoni,California,5/5/2020, Who is at risk? , Who is at risk? ,1,
84,patDaily,Illinois,5/5/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
85,ayelliyah,Tennessee,5/5/2020, Nonrelevant, Nonrelevant,1,
86,JFCactivities,Massachusetts,5/8/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
87,gdspronk,Minnesota,5/8/2020, Nonrelevant, Nonrelevant,1,
88,Sudfundvt,Vermont,5/12/2020, Who is at risk? , Who is at risk? ,1,
89,RepChrisWelch,Illinois,5/16/2020, Who is at risk? , Who is at risk? ,1,
90,JoeLawrence99,Maryland,5/16/2020, Nonrelevant, Nonrelevant,1,
91,yepitstiffany,California,5/19/2020, Who is at risk? , Who is at risk? ,1,
92,CatNipEvrgreen,Oklahoma,5/20/2020, Nonrelevant, Nonrelevant,1,
93,TinPotDickTator,California,5/21/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
94,LAangel_Camilla,California,5/21/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
95,_alf92,Virginia,5/22/2020, Nonrelevant, Nonrelevant,1,
96,FergusonforMI1,Michigan,5/22/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
97,rbrtshrmn,Missouri,5/22/2020, Nonrelevant, Nonrelevant,1,
98,pgccnews,Maryland,5/23/2020, Who is at risk? , Who is at risk? ,1,
99,stephenbottomly,Florida,5/23/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
100,redlich_dennis,Wisconsin,5/24/2020," Political legitimizing of risk 
 Mask effectiveness "," Political legitimizing of risk 
 Mask effectiveness ",1,
101,EllieAsksWhy,Texas,5/25/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
102,JackKelly111,New Hampshire,5/25/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
103,RjPerry62,Florida,5/27/2020, Nonrelevant, Nonrelevant,1,
104,MrsEmoticon,Kentucky,5/27/2020, Mask effectiveness , Mask effectiveness ,1,
105,RealParkerJ,Indiana,5/29/2020, Mask behavior of others , Mask behavior of others ,1,
106,wickercleaningl,Louisiana,5/30/2020, Mask effectiveness , Mask effectiveness ,1,
107,fightwingdotcom,Illinois,5/31/2020, Nonrelevant, Nonrelevant,1,
108,crimsonruari,Illinois,5/31/2020, Nonrelevant, Nonrelevant,1,
109,NSE_Hef,New York,6/1/2020," Mask behavior of others 
 COVID desensitization "," Mask behavior of others 
 COVID desensitization ",1,
110,monivettec,Florida,6/1/2020, Mask behavior of others , Mask behavior of others ,1,
111,capt_atc,North Carolina,6/1/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
143,YONN_CHASINNN,Ohio,6/27/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
112,TheBakeShow_14,Ohio,6/3/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
113,Its_Champey,New Hampshire,6/5/2020, Who is at risk? , Who is at risk? ,1,
114,shannoncerneka,Missouri,6/6/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
115,VSamone,Texas,6/6/2020, Mask behavior of others , Mask behavior of others ,1,
116,willaymerich,Georgia,6/9/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
117,EZembeck,Massachusetts,6/9/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
118,Marvin24838169,New York,6/11/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
119,kaneprogressive,Illinois,6/12/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
120,AliceCo39262826,Texas,6/13/2020, Mask behavior of others , Mask behavior of others ,1,
121,DE_AmyS,North Carolina,6/15/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
122,kelly_march79,Utah,6/15/2020, Nonrelevant, Nonrelevant,1,
123,ambigbee,Texas,6/16/2020, Mask behavior of others , Mask behavior of others ,1,
124,molenciaga,New York,6/16/2020," Mask behavior of others 
 COVID desensitization "," Mask behavior of others 
 COVID desensitization ",1,
125,dlr_vegas,Nevada,6/17/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
126,NonprofitJenn,Maine,6/17/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
127,cpbetz,Illinois,6/17/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
128,Artists_Journey,Oklahoma,6/17/2020, Mask behavior of others , Mask behavior of others ,1,
129,lindsay_mtaylor,New York,6/23/2020," Mask behavior of others 
 COVID desensitization "," Mask behavior of others 
 COVID desensitization ",1,
130,VincentJuarez69,Illinois,6/23/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
131,BlaizeAustin,Maryland,6/23/2020, Nonrelevant, Nonrelevant,1,
132,_cf00,Washington,6/23/2020, Mask behavior of others , Mask behavior of others ,1,
133,Michael44004861,New Jersey,6/24/2020, Mask effectiveness , Mask effectiveness ,1,
134,Lauren_Tabor,Minnesota,6/25/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
135,kristylove777,Arizona,6/25/2020, Nonrelevant, Nonrelevant,1,
136,alecbushman,Arizona,6/26/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
137,VincentDiazJr1,District of Columbia,6/26/2020, Mask effectiveness , Mask effectiveness ,1,
138,LibertyAndFree4,Florida,6/27/2020,"Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ","Mask guidelines and policies 
 Political legitimizing of risk 
 Mask effectiveness ",1,
139,candies2639,Kentucky,6/27/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
140,LarryMorgan75,Illinois,6/27/2020, Who is at risk? , Who is at risk? ,1,
141,KelsoBall,Kentucky,6/27/2020, Mask behavior of others , Mask behavior of others ,1,
142,dmkoffler,New York,6/27/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
144,bobbiesamcomca1,Pennsylvania,6/27/2020, Mask effectiveness , Mask effectiveness ,1,
145,MCD35FOOTBALL,Louisiana,6/28/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
146,klemme_farron,Missouri,6/28/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
147,heck_hailey,Arizona,6/29/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
148,RichmanMartin,South Carolina,6/29/2020, Nonrelevant, Nonrelevant,1,
149,VincentDiazJr1,District of Columbia,6/29/2020, Mask effectiveness , Mask effectiveness ,1,
150,miahomie9,Ohio,6/29/2020, Mask behavior of others , Mask behavior of others ,1,
151,MekaPye100,Georgia,1/30/2020, Mask behavior of others , Mask behavior of others ,1,
152,it_wasnt__me_,Texas,1/30/2020, Mask behavior of others , Mask behavior of others ,1,
153,vfiorese_,Texas,2/2/2020, Who is at risk? , Who is at risk? ,1,
154,GrowinOldAbsurd,California,2/4/2020, COVID severity , COVID severity ,1,
155,oluobededom,Texas,2/12/2020, Mask effectiveness , Mask effectiveness ,1,
156,woffylo,New Jersey,2/18/2020, COVID severity , COVID severity ,1,
157,nebraham21,Iowa,2/25/2020, Mask effectiveness , Mask effectiveness ,1,
158,bestgug,California,2/25/2020, Nonrelevant, Nonrelevant,1,
159,fiscalfreedomct,Connecticut,2/26/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
160,naomib______,California,2/26/2020, Who is at risk? , Who is at risk? ,1,
161,danniimariemode,Florida,3/2/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
162,SunDAce_Y,Washington,3/2/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
163,advocatehealth,Illinois,3/4/2020, Mask effectiveness , Mask effectiveness ,1,
164,DEEGILES0410,Wyoming,3/8/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
165,terrymurphy06,Florida,3/18/2020, Who is at risk? , Who is at risk? ,1,
166,Maaadddieee,Texas,3/19/2020, Mask behavior of others , Mask behavior of others ,1,
167,uw_housestaff,Washington,3/19/2020, Nonrelevant, Nonrelevant,1,
168,prichardsonla,California,3/21/2020, Who is at risk? , Who is at risk? ,1,
169,JamminWJam,Illinois,3/22/2020, Mask behavior of others , Mask behavior of others ,1,
170,GaineyJohnny,Florida,3/24/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
171,guan_susan,Indiana,3/25/2020, Who is at risk? , Who is at risk? ,1,
172,clmarohn,Minnesota,3/26/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
173,KeeshaYodabarb,Arizona,3/26/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
174,BB35_,Illinois,3/27/2020, Mask effectiveness , Mask effectiveness ,1,
175,NickySundt,District of Columbia,3/28/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
176,TajCottage,Michigan,3/29/2020, Who is at risk? , Who is at risk? ,1,
177,CleanAirMoms_FL,Florida,3/31/2020, COVID severity , COVID severity ,1,
178,subBurgher,Maryland,4/2/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
179,littlest_ranger,Tennessee,4/3/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
180,caleb_tuell,Tennessee,4/3/2020, Who is at risk? , Who is at risk? ,1,
181,AndyDRC,California,4/3/2020, Who is at risk? , Who is at risk? ,1,
182,dueltainerlouie,California,4/3/2020, Who is at risk? , Who is at risk? ,1,
183,CarrickTony,California,4/4/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
184,vdpluijm,Michigan,4/4/2020, Who is at risk? , Who is at risk? ,1,
185,WAVY10Bob,Virginia,4/4/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
186,NetworksManager,District of Columbia,4/4/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
187,KellyRobNews,Tennessee,4/6/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
188,jesseRscott,Florida,4/6/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
189,SinDeeHooHoo,Missouri,4/8/2020, Mask behavior of others , Mask behavior of others ,1,
190,mprvmntvagabond,Hawaii,4/9/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
191,uche_blackstock,New York,4/10/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
192,BrianBielanski,California,4/10/2020, Mask behavior of others , Mask behavior of others ,1,
193,dougferguson,South Carolina,4/12/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,CDC Distrust
194,SACMobile11,California,4/13/2020, Who is at risk? , Who is at risk? ,1,
195,roberthrogers1,California,4/16/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
196,send2jel,Virginia,4/21/2020, Nonrelevant, Nonrelevant,1,
197,JazzyARY,Virginia,4/21/2020, Mask behavior of others , Mask behavior of others ,1,
198,RacerGuy13,Kentucky,4/22/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
199,kevinscott2012,Indiana,4/24/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
200,PuroPincheSA,Texas,4/27/2020, Mask behavior of others , Mask behavior of others ,1,
201,AlbertHoward888,California,4/28/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
202,TheGreasyWiener,California,5/1/2020, Who is at risk? , Who is at risk? ,1,
203,revbethanncook,Indiana,5/1/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
204,Leftdescending,Tennessee,5/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
205,halfvietguy,California,5/1/2020, Who is at risk? , Who is at risk? ,1,
206,gabzcas,Texas,5/1/2020, Mask behavior of others , Mask behavior of others ,1,
207,OhMuseYou,Pennsylvania,5/2/2020, Nonrelevant, Nonrelevant,1,
208,heitmeyernancy,Mississippi,5/2/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
209,Allison20112012,Texas,5/2/2020, Political legitimizing of risk , Political legitimizing of risk ,1,
210,_ceci27,Texas,5/2/2020, Who is at risk? , Who is at risk? ,1,
211,1LilJohnnyFlex,Mississippi,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
212,Eliann_Marie,New York,5/3/2020, Who is at risk? , Who is at risk? ,1,
213,ernesto_moralez,Texas,5/3/2020, Mask effectiveness , Mask effectiveness ,1,
214,earthquakemoore,Pennsylvania,5/3/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
215,TEDX2000,California,5/3/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
216,earthquakemoore,Pennsylvania,5/3/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
217,TheMrBlueprint,California,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
218,MrNaturalzSalon,Washington,5/3/2020, Nonrelevant, Nonrelevant,1,
219,SFGeekGirl,California,5/3/2020, Who is at risk? , Who is at risk? ,1,
220,MaxLatoche,New York,5/3/2020, Mask behavior of others , Mask behavior of others ,1,
221,banuaba,Washington,5/3/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
222,themeparkalex,Florida,5/4/2020, Who is at risk? , Who is at risk? ,1,
223,Scorched_Deer,Nevada,5/4/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
224,JerryoakesJerry,Michigan,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
225,bootyzou,Virginia,5/4/2020, Who is at risk? , Who is at risk? ,1,
226,lizhmccarthy,Massachusetts,5/4/2020,"Mask guidelines and policies 
 COVID severity ","Mask guidelines and policies 
 COVID severity ",1,
227,BetterCallMike,Texas,5/4/2020, Mask behavior of others , Mask behavior of others ,1,
228,Shrkattak,California,5/5/2020," Political legitimizing of risk 
 Who is at risk? 
 Mask behavior of others "," Political legitimizing of risk 
 Who is at risk? 
 Mask behavior of others ",1,
229,KyRedsGal,Kentucky,5/5/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
230,zlemADIYAMAN3,Virginia,5/5/2020, COVID severity , COVID severity ,1,
231,TrevJoseph,California,5/5/2020, Who is at risk? , Who is at risk? ,1,
232,MusicReviewer7,New York,5/6/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
233,jfigaro77,Virginia,5/6/2020, Who is at risk? , Who is at risk? ,1,
234,JonathanValdez,New York,5/7/2020, Mask behavior of others , Mask behavior of others ,1,
296,VagabondPlays,Tennessee,6/28/2020, Who is at risk? , Who is at risk? ,1,
235,PatiKRoll11,Colorado,5/9/2020,"Mask guidelines and policies 
 Political legitimizing of risk ","Mask guidelines and policies 
 Political legitimizing of risk ",1,
236,MlleKanaS,Maine,5/10/2020, COVID severity , COVID severity ,1,
237,BoulderCHealth,Colorado,5/15/2020," Political legitimizing of risk 
 Who is at risk? "," Political legitimizing of risk 
 Who is at risk? ",1,
238,andashd,North Carolina,5/15/2020, Who is at risk? , Who is at risk? ,1,
239,ItsD_D,Georgia,5/16/2020, Who is at risk? , Who is at risk? ,1,
240,StandupAl,California,5/16/2020, Mask behavior of others , Mask behavior of others ,1,
241,jlewis_xvx,Texas,5/19/2020," Political legitimizing of risk 
 Mask behavior of others "," Political legitimizing of risk 
 Mask behavior of others ",1,
242,justdoodirty2,New York,5/20/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
243,Jon_RosenthalTX,Texas,5/23/2020, Nonrelevant, Nonrelevant,1,
244,KaryinBrooklyn,New York,5/23/2020, COVID severity , COVID severity ,1,
245,tattedNspatted,Texas,5/24/2020," Mask behavior of others 
 COVID desensitization "," Mask behavior of others 
 COVID desensitization ",1,
246,Sanjay3324,California,5/26/2020, Who is at risk? , Who is at risk? ,1,
247,Judith31581505,Wisconsin,5/26/2020, Who is at risk? , Who is at risk? ,1,
248,jessajayn,Maryland,5/26/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
249,tjatua,California,5/27/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
250,tigerbeat,California,5/27/2020, Who is at risk? , Who is at risk? ,1,
251,AliDahmash,Florida,5/27/2020, Nonrelevant, Nonrelevant,1,
252,sallyeastman1,South Carolina,5/28/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,
253,RubenReyRamirez,Texas,5/30/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
254,Ace_Dre,New York,5/30/2020, Mask effectiveness , Mask effectiveness ,1,
255,deanohenson,Nebraska,5/30/2020, Mask behavior of others , Mask behavior of others ,1,
256,Gettinglumpedup,New York,6/1/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
257,jerbrophy,Virginia,6/3/2020, Mask behavior of others , Mask behavior of others ,1,
258,ericlastbyun,California,6/3/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
259,PersisterCrone,North Carolina,6/3/2020, Who is at risk? , Who is at risk? ,1,
260,DevarajR,Texas,6/6/2020, Nonrelevant, Nonrelevant,1,
261,Kannabiizz,Arizona,6/6/2020, Mask behavior of others , Mask behavior of others ,1,
262,Lindsay90405,California,6/7/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
263,Busmanvw79,Connecticut,6/7/2020, Mask effectiveness , Mask effectiveness ,1,
264,dandlionalchemy,California,6/10/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
265,katoukate,Pennsylvania,6/10/2020, Who is at risk? , Who is at risk? ,1,
266,david_glaze1,California,6/11/2020, Who is at risk? , Who is at risk? ,1,
267,nursevictoria11,Arizona,6/12/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
268,wildbill750,Texas,6/12/2020,"Mask guidelines and policies 
 Mask behavior of others ","Mask guidelines and policies 
 Mask behavior of others ",1,
269,aarontekulve,Washington,6/12/2020," Who is at risk? 
 Mask behavior of others 
 COVID desensitization "," Who is at risk? 
 Mask behavior of others 
 COVID desensitization ",1,
270,aaronernst,New York,6/13/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
271,tuckb96,Georgia,6/14/2020, Nonrelevant, Nonrelevant,1,
272,womanisthbprof,Pennsylvania,6/14/2020, Mask behavior of others , Mask behavior of others ,1,
273,ThrillScience,California,6/14/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
